HRDATEACCTCRDRLCURLAMTACURAAMTFX-TO-
BD20240802IBANK-SUSP-V-INT                   D5540000019253745540000019253741.000000
BD20240802IBANK-SUSP-V-INT-AUD               D5540000009895920360000009044380.913950
BD20240802IBANK-SUSP-V-INT-USD               D5540000035897548400000021339290.594450
BD20240802IBANK-SUSP-V-INT-EUR               D5540000082006449780000045177350.550900
BD20240802IBANK-SUSP-V-INT-GBP               D5540000069123768260000032294620.467200
BD20240802IBANK-SUSP-V-DOM                   D5540000093746165540000093746161.000000
BD20240802IBANK-SUSP-M-INT                   D5540000025954585540000025954581.000000
BD20240802IBANK-SUSP-M-INT-AUD               D5540000076653540360000070057500.913950
BD20240802IBANK-SUSP-M-INT-USD               D5540000082867708400000049260700.594450
BD20240802IBANK-SUSP-M-INT-EUR               D5540000067901069780000037406690.550900
BD20240802IBANK-SUSP-M-INT-GBP               D5540000076204878260000035602920.467200
BD20240802IBANK-SUSP-M-DOM                   D5540000055132045540000055132041.000000
BD20240802MRCH-PAYMENT                       C5540000228021915540000228021911.000000
BD20240802MRCH-PAYMENT-AUD                   C5540000085429390360000078078190.913950
BD20240802MRCH-PAYMENT-USD                   C5540000102685258400000061041250.594450
BD20240802MRCH-PAYMENT-EUR                   C5540000144380719780000079539330.550900
BD20240802MRCH-PAYMENT-GBP                   C5540000134120098260000062660910.467200
TRSOMETRAILER
