rs2_gl_acct_number,curr_code,bnz_acct_number,acct_system,net_post_all_flag,net_post_cr_flag,net_post_dr_flag,particular_config,code_config,reference_config,other_acct_config
DEAL-CONTROL-AUD,036,BNZ_FX_DEAL_CONTROL_AUD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
DEAL-CONTROL-EUR,978,BNZ_FX_DEAL_CONTROL_EUR,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
DEAL-CONTROL-GBP,826,BNZ_FX_DEAL_CONTROL_GBP,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
DEAL-CONTROL-NZD,554,BNZ_DOM_DEAL_CONTROL_DOM,CIF,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
DEAL-CONTROL-USD,840,BNZ_FX_DEAL_CONTROL_USD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-DOM,554,BNZ_DOM_SCH_CLEARING_DOM,CIF,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-INT,554,BNZ_DOM_SCH_CLEARING_DOM,CIF,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-INT-AUD,036,BNZ_FX_SCH_CLEARING_AUD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-INT-EUR,978,BNZ_FX_SCH_CLEARING_EUR,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-INT-GBP,826,BNZ_FX_SCH_CLEARING_GBP,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-M-INT-USD,840,BNZ_FX_SCH_CLEARING_USD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-DOM,554,BNZ_DOM_SCH_CLEARING_DOM,CIF,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-INT,554,BNZ_DOM_SCH_CLEARING_DOM,CIF,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-INT-AUD,036,BNZ_FX_SCH_CLEARING_AUD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-INT-EUR,978,BNZ_FX_SCH_CLEARING_EUR,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-INT-GBP,826,BNZ_FX_SCH_CLEARING_GBP,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
IBANK-SUSP-V-INT-USD,840,BNZ_FX_SCH_CLEARING_USD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-PAYMENT,554,BNZ_DOM_PROC_CTRL_NZD,CIF,Y,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-PAYMENT-AUD,036,BNZ_FX_PROC_CTRL_AUD,MIDAS,N,Y,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-PAYMENT-EUR,978,BNZ_FX_PROC_CTRL_EUR,MIDAS,N,Y,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-PAYMENT-GBP,826,BNZ_FX_PROC_CTRL_GBP,MIDAS,N,Y,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-PAYMENT-USD,840,BNZ_FX_PROC_CTRL_USD,MIDAS,N,N,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-BNZ,554,BNZ_DOM_MRCH_SETTLE_NZD,CIF,N,Y,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-BNZ-AUD,036,BNZ_FX_MRCH_SETTLE_AUD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-BNZ-EUR,978,BNZ_FX_MRCH_SETTLE_EUR,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-BNZ-GBP,826,BNZ_FX_MRCH_SETTLE_GBP,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-BNZ-USD,840,BNZ_FX_MRCH_SETTLE_USD,MIDAS,N,N,N,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
MRCH-SETTLE-KIWI,554,KIWI_DOM_MRCH_SETTLE_NZD,CIF,N,Y,Y,v:file_number,c:RS2-GL-DATA,v:record_date,v:gl_acct_number
